WebHitNumber,screenName,followers_count,location,name,created_at,description
25,DAErieCountyNY,2520,"Buffalo, NY",Erie County DA,2015-12-24 15:19:10,The official Twitter account of the Erie County District Attorney's Office.
12,NWSBUFFALO,25241,BUFFALO NEW YORK,NWS Buffalo,2012-12-01 15:32:05,Official Twitter Account for National Weather Service Buffalo New York. Details: http://t.co/KKTK7cZlhK
28,BfloBizFirst,19912,"Buffalo, NY",Buffalo Business First,2009-03-20 18:24:51,The No. 1 source for business news in the #Buffalo area.
10,SPECNewsBuffalo,27061,"Buffalo, NY",Spectrum News BUF,2009-03-24 21:43:36,"Spectrum News offers the best 24-hour local news coverage in Buffalo plus weather, sports and your favorite features."
15,WBFO,22008,"Buffalo, NY",WBFO,2009-02-11 19:06:08,"WBFO-FM 88.7 is Buffalo’s leading radio provider of local and regional news, along with national and international coverage from @NPR and the @BBC."
13,BPDAlerts,24453,"Buffalo, NY",Buffalo Police Dept,2011-01-13 17:18:43,"The Official Twitter page of the Police Department in Buffalo, New York."
21,RedandBlack716,153,"Buffalo, NY",Buffalo Red & Black,2017-04-05 00:14:26,"An anarchist organization in Buffalo, NY."
23,BFLO_CC,1675,"65 Niagara Sq, Buffalo, NY",Bflo Common Council,2014-05-02 14:02:46,"Official Twitter account for The City of #Buffalo Common Council, serving public interest of WNY. Follow for updates & more from your elected representatives."
24,Buffalo_Schools,3611,"Buffalo, NY",Buffalo Schools,2012-01-05 14:37:22,Putting Children & Families First to Ensure High Academic Achievement for All.  The Buffalo School District is regarded as a premiere urban school system.
27,SURJBuffalo,1521,"Buffalo, NY",SURJ Buffalo,2016-08-15 22:52:12,organizing white folks around racial justice. email us at: surjbuffalo@gmail.com
14,markpoloncarz,42260,"Buffalo, New York",Mark Poloncarz,2009-06-08 03:24:44,"Former hockey coach, frustrated golfer, political and history nerd. Just a kid from Sunny LA (Lackawanna that is) who grew up to be Erie County's Executive."
30,USACE_Buffalo,1661,"Buffalo, NY",USACE Buffalo,2011-04-21 11:43:52,"The Buffalo District provides world-class engineering solutions to the Lower Great Lakes.  Our AOR covers approximately 38,000 square miles in NY, OH and PA."
29,BuffaloSewer,307,"Buffalo, NY",Buffalo Sewer ⛄️,2018-07-13 19:18:07,"We make water WORK. Here to protect public health, prevent pollution, and create energy in the process. 💧"
9,BuffaloBills,1152375,"Orchard Park, NY",Buffalo Bills,2009-03-18 14:54:37,The official Twitter of the Buffalo Bills.
32,MobBuffalo,1022,"Buffalo, NY",Buffalo Mob,2019-02-15 15:27:55,"History and news about public corruption, drug trafficking, OC and the Buffalo mob including rumblings about its influence in the underworld today."
16,BuffaloSabres,864363,"Buffalo, N.Y.",Buffalo Sabres,2009-03-02 21:25:40,The official Twitter of the Buffalo Sabres. #LetsGoBuffalo
17,wnymedia,11192,"Buffalo, NY",WNYmedia Network,2007-09-26 12:59:23,"Network of Journalists, Newsmakers, Activists & Bloggers focused on Public Good, Live Music, Great Food, Good Government, and Sports in #Buffalo & #WNY."
18,IIBuff,2052,"Buffalo, NY",International Institute of Buffalo,2009-09-23 16:05:50,"Making WNY a better place for, and because of, immigrants & refugees."
86,news4buffalo,178929,"Buffalo, NY",News 4 Buffalo,2008-07-21 20:32:32,"WIVB-TV is Buffalo's first television station and Your Local News Leader.
📧 newsroom@wivb.com
📞 (716) 876-7333
🗣️ DMs are open for news tips"
26,BuffaloNiagara,29104,"Buffalo, NY",Visit Buffalo Niagara,2008-12-09 16:30:40,"Visit Buffalo Niagara is here to give you the insider’s perspective on our genuine, welcoming & always surprising city. #InTheBUF"
22,ECDOH,10750,"Erie County (#Buffalo), NY",Erie County Department of Health 😷,2012-04-19 12:26:57,"The Erie County Department of Health promotes & protects the health and safety of Erie County, NY residents. Text for #Narcan in Erie County: (716) 225-5473"
5,WGRZ,193292,"Buffalo, NY",WGRZ,2008-07-03 13:14:17,"2 On Your Side is WGRZ-TV in Buffalo, NY; the news station that holds people in power accountable!"
6,TheBuffaloNews,168359,"Buffalo, NY",The Buffalo News,2009-06-01 02:02:46,"News alerts, headlines & more from WNY’s largest newsroom. 

Subscribe for just $1 a month ➡️ https://t.co/kzadt6I0bJ"
20,MayorByronBrown,21732,"Buffalo, NY",Byron W. Brown,2010-07-23 18:40:23,62nd Mayor of the City of Buffalo
8,buffalo_ny,2117,"Buffalo, NY",Buffalo NY,2008-12-11 14:52:15,"Buffalo, NY News and to have your tweet rebroadcast on here punch #buffalo"
11,BuffaloEats,27800,"Buffalo, NY",Buffalo Eats,2009-02-24 14:31:37,Writing about the WNY food scene since 2009. Created by Donnie Burtless. Funny/Informative tweets by Donnie/@mgoodwi4
19,FBNY_WNY,2119,"Buffalo, NY",FBNY,2017-12-10 07:18:44,Fire Buff NY
7,WKBW,77389,Buffalo,7 Eyewitness News,2009-03-11 00:00:25,"7 Eyewitness News is Buffalo and Western New York's source for news, sports, and weather. #seeiton7"
