FollowsByCommunity,screenName,followers_count,location,name,created_at,description
902,WKBW,77333,Buffalo,7 Eyewitness News,2009-03-11 00:00:25,"7 Eyewitness News is Buffalo and Western New York's source for news, sports, and weather. #seeiton7"
805,news4buffalo,178928,"Buffalo, NY",News 4 Buffalo,2008-07-21 20:32:32,"WIVB-TV is Buffalo's first television station and Your Local News Leader.
📧 newsroom@wivb.com
📞 (716) 876-7333
🗣️ DMs are open for news tips"
793,WGRZ,193288,"Buffalo, NY",WGRZ,2008-07-03 13:14:17,"2 On Your Side is WGRZ-TV in Buffalo, NY; the news station that holds people in power accountable!"
387,NewsRadio930,27455,"Buffalo, N.Y.",WBEN NewsRadio 930AM,2009-03-11 19:00:12,"Buffalo News, Talk, Weather. Home of David Bellavia, Rush Limbaugh, and Tom Bauerle. Radio News Leader and The Voice of Buffalo. Send tips to: newsroom@wben.com"
730,SPECNewsBuffalo,27061,"Buffalo, NY",Spectrum News BUF,2009-03-24 21:43:36,"Spectrum News offers the best 24-hour local news coverage in Buffalo plus weather, sports and your favorite features."
547,TheBuffaloNews,168362,"Buffalo, NY",The Buffalo News,2009-06-01 02:02:46,"News alerts, headlines & more from WNY’s largest newsroom. 

Subscribe for just $1 a month ➡️ https://t.co/kzadt6I0bJ"
180,NHLonNBCSports,694827,USA,NHL on NBC Sports,2009-04-07 14:56:44,Doing that hockey on NBC and NBCSN.
179,pham1717,53450,,Paul Hamilton,2009-05-17 22:34:03,Sabres Reporter for WGR Sports Radio 550. WGRZ Sabres commentator. Former Rochester Americans and Niagara Hockey play-by-play.
353,BuffaloSabres,864370,"Buffalo, N.Y.",Buffalo Sabres,2009-03-02 21:25:40,The official Twitter of the Buffalo Sabres. #LetsGoBuffalo
173,prohockeyrumors,109125,,Pro Hockey Rumors,2015-12-15 14:44:12,Official Twitter account for https://t.co/H6iwMLZsmn.
169,NHLNetwork,558504,,NHL Network,2009-04-01 16:09:24,Today on NHL Network: https://t.co/LbSI7aUF0X. Visit https://t.co/qy14L0mlkU for more information. Social media/giveaway rules: https://t.co/q0YyqSHgpk
166,Buccigross,396032,Instagram @Buccigross,Bucci Mane,2009-05-31 04:30:25,I’m not smarter than you. I don’t care more than you.
305,WGR550,138312,"Buffalo, NY",WGR 550,2009-06-05 15:34:43,The 24/7 Source for Sports in Buffalo and the radio home of the Buffalo Sabres and the Buffalo Bills
132,BuffaloRising,77742,"Buffalo, New York",Buffalo Rising,2007-05-09 11:56:06,"We cover #BuffaloNY #development, culture, people, #food, and #events in mindful and engaging ways. A Local Matters brand."
248,BuffaloBills,1152518,"Orchard Park, NY",Buffalo Bills,2009-03-18 14:54:37,The official Twitter of the Buffalo Bills.
236,BPDAlerts,24454,"Buffalo, NY",Buffalo Police Dept,2011-01-13 17:18:43,"The Official Twitter page of the Police Department in Buffalo, New York."
212,NFL,26496970,,NFL,2009-01-24 01:28:06,Official Twitter account of the National Football League.
189,AmerksHockey,70894,"Rochester, NY",Rochester Americans,2009-06-30 13:21:49,Official Account of the Rochester Americans presented by @SenecaCasinos | Affiliate of the @BuffaloSabres | #UnitedWeROC
187,nflnetwork,4112393,"Culver City, CA",NFL Network,2009-01-22 21:23:06,Official Twitter account of the NFL Network. 📺 x 🏈
173,Deadspin,906280,,Deadspin,2008-02-07 17:38:57,"Sports News Without Fear, Favor or Compromise"
84,BufWaterfront,91225,"Buffalo, NY",Buffalo Waterfront,2009-07-08 19:09:14,"Canalside + Outer Harbor news, events, and more.
Your city. Your waterfront. Your connection to it all."
166,ProFootballTalk,1638317,,ProFootballTalk,2008-10-09 19:37:26,"© 2021 https://t.co/otR2g1vnYL & Football Talk, LLC. All Rights Reserved."
162,barstoolsports,2806725,America,Barstool Sports,2009-03-03 16:01:13,Viva La Stool - Download the Barstool Sports app https://t.co/sxfRMbcsSw
80,GustoBuffalo,31262,"Buffalo, NY",Buffalo News Gusto,2009-03-19 15:45:08,"Gusto is the Buffalo area's guide to food and drink, things to do, music, movies, theater, art and more."
152,usahockey,353737,"Colorado Springs, Colo.",USA Hockey,2008-07-21 18:48:32,Official Twitter account of the National Governing Body of Ice Hockey in the United States. #USAHockey
71,WBFO,22006,"Buffalo, NY",WBFO,2009-02-11 19:06:08,"WBFO-FM 88.7 is Buffalo’s leading radio provider of local and regional news, along with national and international coverage from @NPR and the @BBC."
70,MayorByronBrown,21734,"Buffalo, NY",Byron W. Brown,2010-07-23 18:40:23,62nd Mayor of the City of Buffalo
139,markpoloncarz,42255,"Buffalo, New York",Mark Poloncarz,2009-06-08 03:24:44,"Former hockey coach, frustrated golfer, political and history nerd. Just a kid from Sunny LA (Lackawanna that is) who grew up to be Erie County's Executive."
66,BfloBizFirst,19908,"Buffalo, NY",Buffalo Business First,2009-03-20 18:24:51,The No. 1 source for business news in the #Buffalo area.
59,amherstpoliceny,9777,"Amherst, New York",Amherst Police 🚔,2013-05-10 14:11:25,"Official Twitter page of the Amherst Police Department, New York

THIS IS NOT MONITORED FOR EMERGENCIES, CALL 9-1-1 TO REPORT AN EMERGENCY.

📪 info@apdny.org"
116,ErieCountyNY,21208,"Erie County, NY","Erie County, NY",2014-09-19 19:35:30,"Official account of Erie County, NY. Providing important information to the community about our great region."
57,1065WYRK,25412,"Buffalo, N.Y.",Country 106.5 WYRK,2008-06-16 18:37:47,Buffalo’s #1 For New Country
56,artvoice,28573,"Buffalo, NY",Artvoice,2008-04-08 18:29:50,"News and art, national and local. Began as an alternative weekly  in 1990 in Buffalo, NY. Publishing content online since 1996. https://t.co/IHtLwMR1cm"
55,ECSONY1,8818,"Buffalo, NY",Erie County Sheriff,2013-05-06 12:41:40,"The official Twitter page of the Erie County Sheriff's Office. Located in Buffalo, New York. 

Duty. Honor. Service."
55,KISS985BUFFALO,41866,"Buffalo, NY",Kiss985Buffalo,2009-08-05 15:04:01,Your #1 Hit Music Station | @JanetSnyderKiss | @NICKinBUFFALO | @Weasekiss985 | @GregOnRadio LISTEN LIVE: https://t.co/Es7zkkn60O
51,ErieCountyESU,8990,"Buffalo, NY",Erie Cty Emerg Svces,2009-09-27 15:26:40,"Department of Homeland Security & Emergency Services works closely with the emergency services and public safety community in Erie County, NY"
101,NWSBUFFALO,25234,BUFFALO NEW YORK,NWS Buffalo,2012-12-01 15:32:05,Official Twitter Account for National Weather Service Buffalo New York. Details: http://t.co/KKTK7cZlhK
47,BuffaloNiagara,29102,"Buffalo, NY",Visit Buffalo Niagara,2008-12-09 16:30:40,"Visit Buffalo Niagara is here to give you the insider’s perspective on our genuine, welcoming & always surprising city. #InTheBUF"
44,whereslloyd,36970,"Buffalo, NY",lloyd,2010-06-17 16:36:19,"Open for dine-in, takeout, & delivery at both Taco Factories

Hey I'm lloyd
Ice Cream: @churnsoftserve

Available to order online & thru @DoorDash"
40,BuffaloSpree,22291,WNY/Buffalo,Buffalo Spree,2009-02-06 20:44:06,Western New York's City/Regional magazine
38,CPDNYInfo,6784,"Cheektowaga, NY",Cheektowaga Police,2011-03-21 14:06:38,This is the Official Twitter page of the Cheektowaga Police Dept. The page is not continuosly monitored. IF YOU HAVE AN EMERGENCY CALL 9-1-1
36,ErieCoBlotter,6812,"Buffalo, New York",Erie Co. Blotter,2014-01-18 04:05:45,"Emergency Services Media Website that brings you Incidents and News Updates that are happening within Erie County, NY. We Support Our Blue Line Family!"
30,wspolice,14022,"West Seneca, New York USA",West Seneca Police,2010-12-14 01:18:40,The principal mission of the West SenecaPoliceDepartment is to preserve the rights of citizens and reduce fear in the community through the prevention of crime
