FollowsByCommunity,screenName,followers_count,location,name,created_at,description
665,Tsihanouskaya,45417,"Vilnius, Lithuania",Sviatlana Tsikhanouskaya,2020-10-02 13:55:55,Leader of democratic Belarus / Telegram https://t.co/24UZyHl36U
641,franakviacorka,53942,"Minsk, Belarus",Franak Viačorka,2009-10-11 11:09:21,"Senior Advisor to Sviatlana Tsikhanouskaya
Contact: franak@tsikhanouskaya.org"
251,belteanews,135953,Беларусь,Чай з варэннем,2015-02-06 10:42:27,Новости Беларуси. Пикчеру на варенье: https://t.co/JV0KSrHfVF
250,Belsat_TV,37567,Belarus,Белсат TV,2010-01-21 18:36:52,"Белсат – першае незалежнае тэлебачанне па-беларуску!

Найбольш аператыўную інфу мы даем у наш Telegram: https://t.co/wd5h1He1Ao"
249,svaboda,91203,Minsk. Belarus,Радыё Свабода,2009-04-08 13:45:49,"Навіны #Беларусь. Radio Free Europe / Radio Liberty, #Belarus Service. https://t.co/4jQtCFv47q https://t.co/XHrgRtTGKI https://t.co/kBwHzfo35a"
243,nexta_tv,65738,,NEXTA,2013-09-21 21:24:04,"Belarus's largest Telegram channel. Here in English to let the world know.

https://t.co/CitNkE181w
https://t.co/HwFyiPzTiJ
https://t.co/55P3nZpwfK

Pronounced nekhta - Bel. for someone"
236,sadmikalai,355904,Беларусь,Грустный Коленька,2015-05-28 15:15:57,"https://t.co/yrd1WXjBXT
Первый после падшего бога. Бастард. 
Белорусский Гном Гномыч. 
Краш, да не ваш."
234,belamova,194608,Барановичи/Минск,РБ головного мозга,2013-02-01 10:43:12,Самый крупный в Беларуси телеграм-канал про политику: https://t.co/u2gEtuhdjM
216,PavelLatushka,4217,,Pavel Latushka,2020-09-25 07:18:37,"Member of the Presidium of the Coordination Council, Head of the National Anti-Crisis Management, ex Minister, Ambassador #Belarus"
215,viktar_babaryka,25046,"Минск, Беларусь",Виктор Бабарико,2020-06-08 10:03:49,Виктор Бабарико — официальный твиттер
214,navalny,2612069,Moscow,Alexey Navalny,2009-10-14 07:12:44,"Основатель Фонда борьбы с коррупцией, лидер партии Россия Будущего."
200,ValeryTsepkalo,18961,Беларусь,Валерий Цепкало,2018-03-26 09:38:57,Официальный Twitter Валерия Цепкало. Дипломат. Международный консультант. Создатель ПВТ.
193,OnlinerBY,276869,"Minsk, Belarus",Onliner,2008-07-23 09:20:27,https://t.co/oBWMVTkKe2 | https://t.co/MaUgiXUYUn | https://t.co/OSnh29nQ0I
191,Motolko,91594,"Minsk, Belarus",Anton Motolko,2009-06-21 20:56:54,"Think Different, друзья… ©"
