FollowsByCommunity,screenName,followers_count,location,name,created_at,description
665,Tsihanouskaya,45417,"Vilnius, Lithuania",Sviatlana Tsikhanouskaya,2020-10-02 13:55:55,Leader of democratic Belarus / Telegram https://t.co/24UZyHl36U
641,franakviacorka,53942,"Minsk, Belarus",Franak Viačorka,2009-10-11 11:09:21,"Senior Advisor to Sviatlana Tsikhanouskaya
Contact: franak@tsikhanouskaya.org"
251,belteanews,135953,Беларусь,Чай з варэннем,2015-02-06 10:42:27,Новости Беларуси. Пикчеру на варенье: https://t.co/JV0KSrHfVF
250,Belsat_TV,37567,Belarus,Белсат TV,2010-01-21 18:36:52,"Белсат – першае незалежнае тэлебачанне па-беларуску!

Найбольш аператыўную інфу мы даем у наш Telegram: https://t.co/wd5h1He1Ao"
249,svaboda,91203,Minsk. Belarus,Радыё Свабода,2009-04-08 13:45:49,"Навіны #Беларусь. Radio Free Europe / Radio Liberty, #Belarus Service. https://t.co/4jQtCFv47q https://t.co/XHrgRtTGKI https://t.co/kBwHzfo35a"
234,belamova,194608,Барановичи/Минск,РБ головного мозга,2013-02-01 10:43:12,Самый крупный в Беларуси телеграм-канал про политику: https://t.co/u2gEtuhdjM
216,PavelLatushka,4217,,Pavel Latushka,2020-09-25 07:18:37,"Member of the Presidium of the Coordination Council, Head of the National Anti-Crisis Management, ex Minister, Ambassador #Belarus"
215,viktar_babaryka,25046,"Минск, Беларусь",Виктор Бабарико,2020-06-08 10:03:49,Виктор Бабарико — официальный твиттер
200,ValeryTsepkalo,18961,Беларусь,Валерий Цепкало,2018-03-26 09:38:57,Официальный Twitter Валерия Цепкало. Дипломат. Международный консультант. Создатель ПВТ.
193,OnlinerBY,276869,"Minsk, Belarus",Onliner,2008-07-23 09:20:27,https://t.co/oBWMVTkKe2 | https://t.co/MaUgiXUYUn | https://t.co/OSnh29nQ0I
191,Motolko,91594,"Minsk, Belarus",Anton Motolko,2009-06-21 20:56:54,"Think Different, друзья… ©"
177,HannaLiubakova,36984,Moving around,Hanna Liubakova,2012-07-27 13:16:55,"Journalist from Minsk, Belarus. Non-resident fellow @AtlanticCouncil. Media trainer. Formerly @RFERL, @Belsat_TV. 2019 @worldpressinst fellow. DM for Signal"
176,nashaniva,17343,Беларусь / Belarus,Наша Ніва,2009-06-30 09:10:29,"Афіцыйны твітар інтэрнэт-партала ""Наша Ніва"""
166,tutby,298255,"Minsk, Belarus",TUT.BY,2009-01-31 14:10:29,"Новости, которые мы заслужили."
162,charter_97,51604,Minsk,charter97.org,2009-07-20 17:17:59,News from Belarus
139,euroradio,34233,Belarus,Еўрарадыё,2009-02-26 09:44:08,"Еўрапейскае радыё для Беларусі Рэдакцыйны мэйл: info@euroradio.fm
https://t.co/ko9HU6uL72"
