FollowsByCommunity,screenName,followers_count,location,name,created_at,description
569,Syracuse1848,15449,"Syracuse, New York",syracuse1848,2012-10-10 15:03:30,"Official Twitter Account of the City of Syracuse, New York. Tweets from the Office of the Mayor. Follow for timely updates and important news."
368,syracusedotcom,93861,"Syracuse, NY",syracuse.com,2008-09-27 00:17:13,"We bring you the best in Syracuse and Central New York news, sports and more."
309,NewsChannel9,77970,"Syracuse, NY",NewsChannel 9,2008-06-16 16:24:45,"Syracuse, NY: NewsChannel 9 WSYR provides the latest news, weather and sports for Central New York. #LocalSYR"
303,OnondagaCounty,10476,"Syracuse, NY",Onondaga County,2013-03-11 15:22:10,"Official Twitter account of Onondaga County Government & County Executive J. Ryan McMahon, II."
291,CNYCentral,83538,Central New York,CNYCentral,2009-02-11 21:24:27,"CNYCentral is your source for news, weather, entertainment & sports in Syracuse & Central New York on NBC3/WSTM, CBS5/WTVH & CW6/WSTQ."
283,SyracuseUNews,23639,"Syracuse, NY",Syracuse University News,2009-04-23 14:03:42,"Media Relations at Syracuse University, bringing the news to you. Follow @SyracuseU, the official university account & @SUCampus, the place for on-campus info."
236,SyracuseU,82716,"Syracuse, New York",Syracuse University,2010-03-23 15:07:30,Syracuse University is dedicated to rigorous scholarship and transformative research. #SyracuseU on-campus news: @SUCampus. Instagram: @SyracuseU. Go Orange! 🍊
231,BenWalsh44,2946,"Syracuse, NY",Ben Walsh,2012-10-27 00:13:15,"54th Mayor of the City of Syracuse, NY"
208,Cuse,140523,Syracuse NY,Syracuse Athletics,2008-12-04 21:18:11,Official Twitter account for Syracuse University Athletics
194,dailyorange,37844,"Syracuse, NY",The Daily Orange,2008-09-05 07:06:07,"The independent student newspaper of Syracuse, New York. Est. 1903."
189,SyracusePolice,2782,"Syracuse, NY",Syracuse Police Department,2019-01-21 12:54:53,Official Syracuse Police Twitter. This page is NOT monitored 24/7. Call 911 for emergencies
187,VisitSyracuse,14141,"Syracuse, NY","Syracuse, New York",2008-11-17 17:11:31,"Explore | Taste | Sip | Savor |
Are you ready to visit Syracuse? #visitsyr #syrstories"
184,BarackObama,130052460,"Washington, DC",Barack Obama,2007-03-05 22:08:25,"Dad, husband, President, citizen."
165,downtownSYR,9128,Downtown Syracuse,Downtown Committee of Syracuse,2009-09-11 19:33:18,"We undertake programs to improve Downtown's image, strengthen its economic base, increase its attractiveness, & assure that it's clean, safe & accessible."
150,NYGovCuomo,2615625,New York,Andrew Cuomo,2010-12-30 17:54:04,"Father, fisherman, motorcycle enthusiast, 56th Governor of New York"
148,syrbasketball,107259,"Syracuse, N.Y.",Syracuse Basketball,2008-05-14 20:58:54,"Syracuse University basketball news and updates from @syracusedotcom's @MikeWatersSYR, @DonnaDitota1 and @MikeACurtis2."
136,Cuse_MBB,273232,"Syracuse, NY",Syracuse Basketball,2014-08-07 19:51:56,The Official Twitter of Syracuse Men's Basketball | Instagram: @cuse_mbb
122,NYSFair,50712,"Syracuse, N.Y.",New York State Fair,2009-03-31 18:53:37,August 20th- September 6th 2021
121,SyrNewTimes,11050,"Syracuse, New York",Syracuse New Times,2010-05-27 13:14:18,The official account for the Syracuse New Times | Proud to be the oldest alt-weekly in the U.S. | @AltWeeklies member
120,JoeBiden,29555343,"Wilmington, DE",Joe Biden,2007-03-11 17:51:24,"Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS."
119,SPECNewsCNY,21490,"CNY, Northern NY, S. Tier",Spectrum News CNY/S.Tier,2009-02-24 16:09:25,"Spectrum News offers the best 24-hour local news, politics, and weather coverage for Central New York and the Southern Tier. "
116,CHM_McMahon,2766,,Ryan McMahon,2013-03-19 14:03:31,
115,PostStandard,23164,"Syracuse, N.Y.",The Post-Standard,2008-01-18 20:54:17,For up-to-date news follow @syracusedotcom.
113,SyracuseFirst,11122,Greater Syracuse metro area,SyracuseFirst,2009-04-28 20:12:39,"Promotes, connects, and advocates for locally owned, independent businesses in Syracuse and Central New York. #BuyLocal"
111,BelieveInSYR,9932,"Syracuse, NY",Believe in Syracuse,2013-01-31 07:24:37,Pride. Progress. Community. Believe In Syracuse is a Non-Profit that promotes civic engagement and the positive aspects of living in #Syracuse.
104,nytimes,49670089,New York City,The New York Times,2007-03-02 20:41:42,News tips? Share them here: https://t.co/ghL9OoYKMM
96,SUcampus,11369,"Syracuse, NY",SU Campus,2011-11-08 18:51:43,"Syracuse University's official account for campus news, info & events! We’re also on Facebook: @SUCampus. Follow the official #SyracuseU account: @SyracuseU."
95,CuseFootball,72419,"Syracuse, NY",Syracuse Football,2012-06-22 13:32:29,Official Twitter account of Syracuse Football | Five-time conference champions and 1959 National Champions
94,armorysquare,9392,"Syracuse, NY",Armory Square,2009-05-15 16:03:54,"Armory Square, Syracuse, New York :: Live. Work. Play."
90,cnnbrk,61158135,Everywhere,CNN Breaking News,2007-01-02 01:48:14,"Breaking news from CNN Digital. Now 61M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N"
86,OnondagaCoParks,5151,"Syracuse, New York",OnondagaCountyParks,2009-11-12 21:07:41,"6500 acres of parkland - zoo, nature center, trails, beaches, shelters, campgrounds, ballfields, special events & more!"
85,KamalaHarris,18025456,California,Kamala Harris,2009-04-11 00:42:07,"Fighting for the people. Wife, Momala, Auntie. She/her. Official account is @VP."
85,CenterStateCEO,6431,"Syracuse, NY",CenterState CEO,2010-05-17 14:58:19,"CenterState CEO is an independent and forward-thinking economic development strategist, business leadership organization and chamber of commerce."
84,NewhouseSU,26337,"Syracuse, NY",Newhouse School,2008-04-03 19:04:03,"Official Twitter feed of the S.I. Newhouse School of Public Communications at @SyracuseU, the nation's leading communications school"
84,TheEllenShow,79171965,California,Ellen DeGeneres,2008-08-14 03:50:42,"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. @ellentube @theellenfund"
84,CEJRyanMcMahon,2801,,County Executive Ryan McMahon,2020-10-15 13:06:58,
81,SyracuseSchools,4998,"Syracuse, NY",Syracuse City School,2010-05-27 12:00:45,"The Syracuse City School District serves more than 21,000 students & 3,500 staff in Syracuse, NY. Together, we're Building Our Future! #SCSDSuccess"
80,WhiteHouse45,26425688,"Washington, D.C.",The White House 45 Archived,2017-01-19 22:54:27,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration."
80,POTUS45,33208934,,President Trump 45 Archived,2017-01-19 22:54:28,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration."
78,SyracuseZoo,8622,"Syracuse, NY",Rosamond Gifford Zoo,2009-03-11 18:46:54,"Rosamond Gifford Zoo is devoted to wildlife conservation, education & #savingspecies. We are AZA-accredited."
77,therealboeheim,99604,Forever 'Cuse,Jim Boeheim,2014-11-06 23:20:51,Syracuse Men's Basketball Coach
76,AndrewDonovan,4238,"Syracuse, NY",Andrew Donovan,2008-10-03 18:37:27,"Reporter, @NewsChannel9 in Syracuse | Formerly @WKTV in Utica | Former @NBCNews Intern | @HWSColleges Alum | Links and retweets aren't endorsements."
75,SUAlums,12039,"Syracuse, New York",Syracuse Alumni🍊,2009-12-10 16:17:32,You’re Forever Orange! Connect with @SyracuseU alumni and celebrate what it means to you to #BeOrange. Insta: @SUAlums 🧡
75,CNN,53288784,,CNN,2007-02-09 00:35:02,It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app https://t.co/UCHG9M367J
75,SyracuseCNY,6847,New York,Syracuse CNY,2012-07-12 21:43:22,"Syracuse, New York | Brian Kingsley | Husband, Father, Grandfather & Friend | Graphic Designer | Opinions are my Own | RT ≠ Endorsement"
69,AdaptCNY,5503,"Syracuse, NY",Adapt CNY,2009-07-13 15:14:35,"Adapt CNY was created to connect, engage, and empower local creative professionals. We want to make Syracuse a more vibrant place to live, work, learn and play!"
68,CuseMLAX,54883,"Syracuse, NY",Syracuse Lacrosse,2010-02-26 17:51:19,11-time NCAA Champions 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆
68,MichaelBenny,7372,"Syracuse, NY",Michael Benny,2009-03-13 23:10:04,"News Anchor in Syracuse, NY. 5, 6 & 11pm CBS5, WTVH. 7pm NBC3, WSTM."
67,MOSTSyracuse,6780,"Syracuse, NY",MOST,2009-08-21 19:05:38,"Museum of Science & Technology. 35,000 square feet of STEAM exhibits to discover, learn & play! 🪐🦖🦕🧠🌍🧬"
66,SyracuseMets,22766,"Syracuse, NY",Syracuse Mets,2009-03-19 15:05:49,The Official Twitter of the Syracuse Mets Triple-A affiliate of the New York @Mets
