WebHitNumber,screenName,followers_count,location,name,created_at,description
14,BelarusDigest,3281,Minsk and London,Belarus Digest,2010-02-27 11:31:21,"Belarus Digest provides non-partisan analysis of Belarusian politics, economy, human rights and Belarus-related events."
2,franakviacorka,53932,"Minsk, Belarus",Franak Viačorka,2009-10-11 11:09:21,"Senior Advisor to Sviatlana Tsikhanouskaya
Contact: franak@tsikhanouskaya.org"
24,pen_belarus,313,Minsk ,PEN Belarus,2020-05-19 10:49:18,"Independent Belarusian association of writers. We develop culture, defend freedom of expression, and rights of writers."
29,IOMBelarus,994,"Minsk, Belarus",IOM Belarus,2012-11-27 14:38:47,International Organization for Migration • Office in the Republic of Belarus
18,BFreeTheatre,14086,London | Minsk,Belarus Free Theatre,2013-02-05 11:20:09,"More than a theatre company. Artists fighting dictatorship. Currently reporting live from :📍Minsk, Belarus #StandWithBelarus"
5,newsbelarusby,1619,Minsk,Belarus Headlines,2014-06-16 08:02:08,Belarus News Headlines by Belarus Service of @RFERL @svaboda
28,HoldingBkm,70,"Minsk, Belarus",BKM HOLDING,2019-10-03 12:48:46,"Reliable transport - reliable solution! 
Follow us on https://t.co/Nq4spwqvCn, https://t.co/TZi78TH6yd, https://t.co/aw4KDpRoER"
16,SwissAmbBelarus,971,Minsk,Claude Altermatt,2017-09-14 08:05:38,Ambassadeur de Suisse en Biélorussie
20,nexta_tv,65765,,NEXTA,2013-09-21 21:24:04,"Belarus's largest Telegram channel. Here in English to let the world know.

https://t.co/CitNkE181w
https://t.co/HwFyiPzTiJ
https://t.co/55P3nZpwfK

Pronounced nekhta - Bel. for someone"
13,USEmbBy,6725,Minsk,U.S. Embassy Minsk,2014-12-30 11:09:20,Welcome to the offical U.S. Embassy Minsk Twitter account. (RT/Follow ≠ endorsement) See us on Facebook: https://t.co/hww7e02DMa
4,BelarusFeed,4311,"Minsk, Belarus",BelarusFeed,2014-03-09 07:56:11,"Daily news from Belarus, life, facts, business and culture. Retweet ≠ endorsement"
19,ZhiveB,62,Minsk,Zhive Belarus,2020-08-12 10:29:49,"English language tweeting of @Nexta_tv content.

I am not no one. I am someone."
10,VoicesBelarus,10300,Minsk,Voices from Belarus,2020-07-02 11:34:19,"Stories of people hoping for a democratic Belarus. Created, translated and moderated by a collective of independent authors and translators."
22,belarus,2150,Minsk-London-Berlin-Brussels,@Belarus,2008-01-02 16:41:43,Twitter of Belarus: fresh news from Belarus in English.
12,BelarusMFA,15700,Minsk,Belarus MFA 🇧🇾,2011-05-13 10:59:53,Official English language twitter of the Ministry of Foreign Affairs of the Republic of Belarus (For tweets in Belarusian and Russian please follow @BelarusMID)
3,HannaLiubakova,36972,Moving around,Hanna Liubakova,2012-07-27 13:16:55,"Journalist from Minsk, Belarus. Non-resident fellow @AtlanticCouncil. Media trainer. Formerly @RFERL, @Belsat_TV. 2019 @worldpressinst fellow. DM for Signal"
27,UKinBelarus,2648,Republic of Belarus,UK in Belarus,2015-08-05 14:01:54,"Official Twitter account of the British Embassy Minsk. You can also follow us on https://t.co/NPiUHNDydS, https://t.co/m3cBsMBj7P, https://t.co/HrmmBNTunQ"
21,CSS_Minsk_JS,570,Republic of Belarus,CSS-Minsk-JS Conference 2020,2017-06-24 17:50:35,"The 4th annual international English-speaking front-end conference 🗓 Sep 26, 2020 🌍 Minsk, Belarus
✈️ Visa-free!
#CSSMinskJS"
23,TCMinskBE,2040,"Minsk, Belarus",T.C. Minsk BE,2013-08-12 13:49:11,Türkiye Cumhuriyeti Minsk Büyükelçiliği Resmi Twitter Sayfası - Official Twitter Page of the Embassy of the Republic of Turkey in Minsk
9,BelarusMiniInfo,2746,Minsk,Free Belarus News (Eng.),2016-09-22 16:32:02,"People's Republic of Belaruse Ministry of Information - пародыя міністэрства
    ""Parrotty Gnus From the Minsk Zoo since 2015"""
26,TadeuszGiczan,17731,"Warsaw, London",Tadeusz Giczan,2018-11-21 22:45:57,"Editor @Nexta_tv, PhD Researcher @UCLSSEES. Belarus' crony socialism⬜️🟥⬜️Traditional architecture enthusiast. Sufferer of WHU⚒️Torpedo Minsk"
8,Belsat_Eng,9849,"Minsk, Belarus",Belsat in English,2013-11-03 19:28:38,The first independent TV in Belarus
