WebHitNumber,screenName,followers_count,location,name,created_at,description
7,Belsat_Eng,9849,"Minsk, Belarus",Belsat in English,2013-11-03 19:28:38,The first independent TV in Belarus
16,CSS_Minsk_JS,570,Republic of Belarus,CSS-Minsk-JS Conference 2020,2017-06-24 17:50:35,"The 4th annual international English-speaking front-end conference 🗓 Sep 26, 2020 🌍 Minsk, Belarus
✈️ Visa-free!
#CSSMinskJS"
19,DinamoMinskEN,608,United Kingdom,Dinamo Minsk English,2020-04-03 17:01:56,Fans of Dinamo Minsk in the UK and the English-speaking world. #CovidCrew 🇧🇾🇬🇧
13,minsk_belarus_,21,Republic of Belarus,Travel Minsk Belarus,2017-01-25 12:47:41,"Visit #Minsk is a special project by @MeetnGreetMe to tell the world more about Minsk, #Belarus, where to go and what to do and enjoy. #tips #travel"
25,a11yminsk,190,"Republic of Belarus, Minsk",Accessibility Club Minsk,2020-01-22 21:09:36,"Let's talk about #a11y!
Minsk community initiators: @glafira_zhur, @zavsievich. The main Accessibility Club: @a11yclub. #a11yminsk #a11yclub"
22,fcminsk_en,368,"London, England",FC Minsk English/ФК МИНСК,2020-03-30 23:03:29,Unofficial UK @fc_minsk fan account. Adventures all over the place with Andrey Razin’s red and blue army #OneTeamInMinsk
12,UKinBelarus,2648,Republic of Belarus,UK in Belarus,2015-08-05 14:01:54,"Official Twitter account of the British Embassy Minsk. You can also follow us on https://t.co/NPiUHNDydS, https://t.co/m3cBsMBj7P, https://t.co/HrmmBNTunQ"
11,BFreeTheatre,14085,London | Minsk,Belarus Free Theatre,2013-02-05 11:20:09,"More than a theatre company. Artists fighting dictatorship. Currently reporting live from :📍Minsk, Belarus #StandWithBelarus"
5,MinskBand,1321,"Peoria, Chicago, Sebastopol",Minsk,2009-03-25 23:36:09,"Big news on the horizon. New album, The Crash & The Draw out now, via Relapse Records: http://t.co/uCRhJQwT3R"
23,HannaLiubakova,36971,Moving around,Hanna Liubakova,2012-07-27 13:16:55,"Journalist from Minsk, Belarus. Non-resident fellow @AtlanticCouncil. Media trainer. Formerly @RFERL, @Belsat_TV. 2019 @worldpressinst fellow. DM for Signal"
8,USEmbBy,6747,Minsk,U.S. Embassy Minsk,2014-12-30 11:09:20,Welcome to the offical U.S. Embassy Minsk Twitter account. (RT/Follow ≠ endorsement) See us on Facebook: https://t.co/hww7e02DMa
28,BelarusFeed,4312,"Minsk, Belarus",BelarusFeed,2014-03-09 07:56:11,"Daily news from Belarus, life, facts, business and culture. Retweet ≠ endorsement"
15,VoxxedMinsk,291,Republic of Belarus,Voxxed Days Minsk,2017-12-05 09:46:21,"Developer Conference in Minsk, Belarus, TBD, 2021 💻"
89,franakviacorka,53932,"Minsk, Belarus",Franak Viačorka,2009-10-11 11:09:21,"Senior Advisor to Sviatlana Tsikhanouskaya
Contact: franak@tsikhanouskaya.org"
21,minsk_made,13,"London, England.",Made In Minsk,2019-08-17 07:30:32,"Made In Minsk. With parts from London, Moldova and Holland. A truly European bunch of mis-fits."
